timestamp, name, index, memory.total [MiB], memory.used [MiB], utilization.gpu [%]
27:01.1, NVIDIA TITAN RTX,2, 24220 MiB, 13022 MiB,99%
28:01.1, NVIDIA TITAN RTX,2, 24220 MiB, 13022 MiB,99%
29:01.1, NVIDIA TITAN RTX,2, 24220 MiB, 13022 MiB,99%
30:01.1, NVIDIA TITAN RTX,2, 24220 MiB, 13022 MiB,99%
31:01.1, NVIDIA TITAN RTX,2, 24220 MiB, 13022 MiB,99%
32:01.2, NVIDIA TITAN RTX,2, 24220 MiB, 13022 MiB,99%
33:01.2, NVIDIA TITAN RTX,2, 24220 MiB, 13022 MiB,99%
34:01.2, NVIDIA TITAN RTX,2, 24220 MiB, 13022 MiB,99%
35:01.2, NVIDIA TITAN RTX,2, 24220 MiB, 13022 MiB,99%
36:01.2, NVIDIA TITAN RTX,2, 24220 MiB, 13022 MiB,99%
37:01.2, NVIDIA TITAN RTX,2, 24220 MiB, 13022 MiB,99%
38:01.2, NVIDIA TITAN RTX,2, 24220 MiB, 13022 MiB,99%
39:01.2, NVIDIA TITAN RTX,2, 24220 MiB, 13022 MiB,99%
40:01.2, NVIDIA TITAN RTX,2, 24220 MiB, 13022 MiB,99%
41:01.2, NVIDIA TITAN RTX,2, 24220 MiB, 13022 MiB,99%
42:01.2, NVIDIA TITAN RTX,2, 24220 MiB, 13022 MiB,99%
43:01.2, NVIDIA TITAN RTX,2, 24220 MiB, 13022 MiB,99%
44:01.2, NVIDIA TITAN RTX,2, 24220 MiB, 13022 MiB,99%
45:01.2, NVIDIA TITAN RTX,2, 24220 MiB, 13022 MiB,99%
46:01.2, NVIDIA TITAN RTX,2, 24220 MiB, 13022 MiB,99%
47:01.2, NVIDIA TITAN RTX,2, 24220 MiB, 13022 MiB,99%
48:01.2, NVIDIA TITAN RTX,2, 24220 MiB, 13022 MiB,99%
49:01.2, NVIDIA TITAN RTX,2, 24220 MiB, 13022 MiB,99%
50:01.2, NVIDIA TITAN RTX,2, 24220 MiB, 13022 MiB,99%
51:01.3, NVIDIA TITAN RTX,2, 24220 MiB, 13022 MiB,99%
52:01.3, NVIDIA TITAN RTX,2, 24220 MiB, 13022 MiB,99%
53:01.3, NVIDIA TITAN RTX,2, 24220 MiB, 13022 MiB,99%
54:01.4, NVIDIA TITAN RTX,2, 24220 MiB, 13022 MiB,99%
55:01.4, NVIDIA TITAN RTX,2, 24220 MiB, 13022 MiB,99%
56:01.4, NVIDIA TITAN RTX,2, 24220 MiB, 13022 MiB,99%
57:01.4, NVIDIA TITAN RTX,2, 24220 MiB, 13022 MiB,99%
58:01.4, NVIDIA TITAN RTX,2, 24220 MiB, 13022 MiB,99%
59:01.4, NVIDIA TITAN RTX,2, 24220 MiB, 13022 MiB,99%
00:01.4, NVIDIA TITAN RTX,2, 24220 MiB, 13022 MiB,99%
01:01.4, NVIDIA TITAN RTX,2, 24220 MiB, 13022 MiB,99%
02:01.4, NVIDIA TITAN RTX,2, 24220 MiB, 13022 MiB,99%
03:01.4, NVIDIA TITAN RTX,2, 24220 MiB, 13022 MiB,99%
04:01.4, NVIDIA TITAN RTX,2, 24220 MiB, 13022 MiB,99%
05:01.4, NVIDIA TITAN RTX,2, 24220 MiB, 13022 MiB,99%
06:01.6, NVIDIA TITAN RTX,2, 24220 MiB, 13022 MiB,99%
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
