timestamp, name, index, memory.total [MiB], memory.used [MiB], utilization.gpu [%]
50:17.4, NVIDIA TITAN RTX,2, 24220 MiB, 12384 MiB,99%
51:17.4, NVIDIA TITAN RTX,2, 24220 MiB, 12384 MiB,99%
52:17.4, NVIDIA TITAN RTX,2, 24220 MiB, 12384 MiB,98%
53:17.4, NVIDIA TITAN RTX,2, 24220 MiB, 12384 MiB,99%
54:17.4, NVIDIA TITAN RTX,2, 24220 MiB, 12384 MiB,99%
55:17.4, NVIDIA TITAN RTX,2, 24220 MiB, 12384 MiB,99%
56:17.4, NVIDIA TITAN RTX,2, 24220 MiB, 12384 MiB,99%
57:17.4, NVIDIA TITAN RTX,2, 24220 MiB, 12384 MiB,99%
58:17.4, NVIDIA TITAN RTX,2, 24220 MiB, 12384 MiB,99%
59:17.4, NVIDIA TITAN RTX,2, 24220 MiB, 12384 MiB,99%
00:17.4, NVIDIA TITAN RTX,2, 24220 MiB, 12384 MiB,99%
01:17.4, NVIDIA TITAN RTX,2, 24220 MiB, 12384 MiB,99%
02:17.4, NVIDIA TITAN RTX,2, 24220 MiB, 12384 MiB,99%
03:17.4, NVIDIA TITAN RTX,2, 24220 MiB, 12384 MiB,99%
04:17.4, NVIDIA TITAN RTX,2, 24220 MiB, 12384 MiB,99%
05:17.4, NVIDIA TITAN RTX,2, 24220 MiB, 12384 MiB,99%
06:17.4, NVIDIA TITAN RTX,2, 24220 MiB, 12384 MiB,99%
07:17.4, NVIDIA TITAN RTX,2, 24220 MiB, 12384 MiB,99%
08:17.4, NVIDIA TITAN RTX,2, 24220 MiB, 12384 MiB,99%
09:17.4, NVIDIA TITAN RTX,2, 24220 MiB, 12384 MiB,99%
10:17.4, NVIDIA TITAN RTX,2, 24220 MiB, 12384 MiB,99%
11:17.4, NVIDIA TITAN RTX,2, 24220 MiB, 12384 MiB,99%
12:17.4, NVIDIA TITAN RTX,2, 24220 MiB, 12384 MiB,99%
13:17.4, NVIDIA TITAN RTX,2, 24220 MiB, 12384 MiB,99%
14:17.4, NVIDIA TITAN RTX,2, 24220 MiB, 12402 MiB,93%
15:17.4, NVIDIA TITAN RTX,2, 24220 MiB, 12402 MiB,94%
17:17.4, NVIDIA TITAN RTX,2, 24220 MiB, 12402 MiB,92%
18:17.4, NVIDIA TITAN RTX,2, 24220 MiB, 12402 MiB,98%
19:17.4, NVIDIA TITAN RTX,2, 24220 MiB, 12402 MiB,99%
20:17.4, NVIDIA TITAN RTX,2, 24220 MiB, 12402 MiB,99%
21:17.4, NVIDIA TITAN RTX,2, 24220 MiB, 12402 MiB,99%
22:17.4, NVIDIA TITAN RTX,2, 24220 MiB, 12402 MiB,99%
23:17.4, NVIDIA TITAN RTX,2, 24220 MiB, 12402 MiB,99%
24:17.4, NVIDIA TITAN RTX,2, 24220 MiB, 12402 MiB,99%
25:17.4, NVIDIA TITAN RTX,2, 24220 MiB, 12402 MiB,98%
26:17.4, NVIDIA TITAN RTX,2, 24220 MiB, 12402 MiB,99%
27:17.4, NVIDIA TITAN RTX,2, 24220 MiB, 12402 MiB,99%
28:17.4, NVIDIA TITAN RTX,2, 24220 MiB, 12402 MiB,99%
29:17.4, NVIDIA TITAN RTX,2, 24220 MiB, 12402 MiB,99%
30:17.4, NVIDIA TITAN RTX,2, 24220 MiB, 12402 MiB,99%
