timestamp, name, index, memory.total [MiB], memory.used [MiB], utilization.gpu [%]
47:46.5, NVIDIA TITAN RTX,2, 24220 MiB, 22496 MiB,98%
48:46.6, NVIDIA TITAN RTX,2, 24220 MiB, 22498 MiB,99%
49:46.6, NVIDIA TITAN RTX,2, 24220 MiB, 22506 MiB,98%
50:46.6, NVIDIA TITAN RTX,2, 24220 MiB, 22506 MiB,99%
51:46.6, NVIDIA TITAN RTX,2, 24220 MiB, 22506 MiB,98%
52:46.6, NVIDIA TITAN RTX,2, 24220 MiB, 22510 MiB,97%
53:46.6, NVIDIA TITAN RTX,2, 24220 MiB, 22512 MiB,97%
54:46.6, NVIDIA TITAN RTX,2, 24220 MiB, 22512 MiB,98%
55:46.6, NVIDIA TITAN RTX,2, 24220 MiB, 22512 MiB,99%
56:46.6, NVIDIA TITAN RTX,2, 24220 MiB, 22512 MiB,98%
57:46.6, NVIDIA TITAN RTX,2, 24220 MiB, 22512 MiB,97%
58:46.6, NVIDIA TITAN RTX,2, 24220 MiB, 22512 MiB,98%
59:46.6, NVIDIA TITAN RTX,2, 24220 MiB, 22512 MiB,98%
00:46.6, NVIDIA TITAN RTX,2, 24220 MiB, 22528 MiB,99%
01:46.6, NVIDIA TITAN RTX,2, 24220 MiB, 22552 MiB,98%
02:46.6, NVIDIA TITAN RTX,2, 24220 MiB, 22552 MiB,98%
03:46.6, NVIDIA TITAN RTX,2, 24220 MiB, 22552 MiB,99%
04:46.6, NVIDIA TITAN RTX,2, 24220 MiB, 22552 MiB,97%
05:46.6, NVIDIA TITAN RTX,2, 24220 MiB, 22552 MiB,98%
06:46.6, NVIDIA TITAN RTX,2, 24220 MiB, 22552 MiB,98%
07:46.6, NVIDIA TITAN RTX,2, 24220 MiB, 22552 MiB,98%
08:46.6, NVIDIA TITAN RTX,2, 24220 MiB, 22552 MiB,98%
09:46.6, NVIDIA TITAN RTX,2, 24220 MiB, 22552 MiB,97%
10:46.6, NVIDIA TITAN RTX,2, 24220 MiB, 22552 MiB,97%
11:46.6, NVIDIA TITAN RTX,2, 24220 MiB, 22552 MiB,99%
12:46.6, NVIDIA TITAN RTX,2, 24220 MiB, 22552 MiB,98%
13:46.6, NVIDIA TITAN RTX,2, 24220 MiB, 22552 MiB,98%
14:46.7, NVIDIA TITAN RTX,2, 24220 MiB, 22552 MiB,98%
15:46.7, NVIDIA TITAN RTX,2, 24220 MiB, 22552 MiB,98%
16:46.7, NVIDIA TITAN RTX,2, 24220 MiB, 22552 MiB,98%
17:46.7, NVIDIA TITAN RTX,2, 24220 MiB, 22552 MiB,97%
18:46.8, NVIDIA TITAN RTX,2, 24220 MiB, 22552 MiB,99%
19:46.8, NVIDIA TITAN RTX,2, 24220 MiB, 22552 MiB,97%
20:46.8, NVIDIA TITAN RTX,2, 24220 MiB, 22552 MiB,98%
21:46.8, NVIDIA TITAN RTX,2, 24220 MiB, 22552 MiB,98%
22:46.9, NVIDIA TITAN RTX,2, 24220 MiB, 22552 MiB,97%
23:46.9, NVIDIA TITAN RTX,2, 24220 MiB, 22552 MiB,97%
24:46.9, NVIDIA TITAN RTX,2, 24220 MiB, 22552 MiB,97%
25:46.9, NVIDIA TITAN RTX,2, 24220 MiB, 22552 MiB,98%
26:46.9, NVIDIA TITAN RTX,2, 24220 MiB, 22552 MiB,98%
,,,,,
,,,,,
,,,,,
,,,,,
